"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.933417583E0,3.440734625E0,1.160639405E0,1.795739830E-1,3.635654742E0
2.943403583E0,3.419233561E0,1.390229344E0,2.922063470E-1,3.702604532E0
2.953388583E0,3.353067398E0,1.542566419E0,3.231538534E-1,3.704996700E0
2.963374583E0,3.257622242E0,1.579692960E0,2.904254496E-1,3.632062701E0
2.973360583E0,3.173353434E0,1.594774723E0,2.449943423E-1,3.559986048E0
2.983345583E0,3.141503096E0,1.600937247E0,2.380849123E-1,3.533939189E0
2.993331583E0,3.118023872E0,1.580951571E0,2.223389745E-1,3.502986634E0
3.003317583E0,3.145161629E0,1.565711498E0,2.082361728E-1,3.519496622E0
3.013303583E0,3.223376751E0,1.511028528E0,2.355226576E-1,3.567749405E0
3.023288583E0,3.291508436E0,1.432926774E0,2.409135699E-1,3.597964185E0
3.033274583E0,3.306199312E0,1.374527335E0,1.863440722E-1,3.585387483E0
3.043260583E0,3.227997303E0,1.271411419E0,6.988225132E-2,3.470062984E0
3.053245583E0,3.091576815E0,1.198230624E0,-5.864083767E-2,3.316178912E0
3.063231583E0,2.961945772E0,1.216170788E0,-1.585490555E-1,3.205827810E0
3.073217583E0,2.871659756E0,1.263494611E0,-2.095272839E-1,3.144320287E0
3.083202583E0,2.802602768E0,1.250823259E0,-2.086980492E-1,3.076149537E0
3.093188583E0,2.729294538E0,1.134451866E0,-1.811100990E-1,2.961221130E0
3.103174583E0,2.639295340E0,9.420094490E-1,-1.605387628E-1,2.806961771E0
3.113159583E0,2.543775082E0,7.346717119E-1,-1.389634311E-1,2.651385492E0
3.123145583E0,2.443990469E0,5.269752145E-1,-1.032965183E-1,2.502291442E0
3.133131583E0,2.323216915E0,3.477162123E-1,-4.971052334E-2,2.349620083E0
3.143117583E0,2.192320108E0,1.842126846E-1,1.834553666E-3,2.200046621E0
3.153102583E0,2.061763525E0,8.116210811E-3,3.177407384E-2,2.062024320E0
